"","Name","Location","Tags","Type","Source Zone","Source Address","Source User","Source Device","Destination Zone","Destination Address","Destination Device","Application","Service","Action","Profile","Options","Target","Rule Usage Rule Usage","Rule Usage Apps Seen","Days With No New Apps","Modified","Created"
"1","ip-block-rule-april-2025","azure_pci_nonprod","none","universal","Pci-Zone","any","any","any","Non-Pci-Zone","ip-block-addr-group-2025","any","any","application-default","Deny","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2025-04-20 12:14:51","2025-04-20 12:14:51"
"2","block-teamviewer-webex","azure_pci_nonprod","none","universal","Pci-Zone","any","any","any","Non-Pci-Zone","any","any","teamviewer;teamviewer-web;webex;webex-connect;webex-weboffice","application-default","Deny","none","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2025-04-29 18:56:22","2025-04-29 18:52:43"
"3","Az-oms-brk-to-smtp-acc","azure_pci_nonprod","none","universal","Pci-Zone","az-cate-10.126.96.141;az-pci-10.126.96.142;controlm-az-srvs-10.126.34.68;dotcom-sit-eun-em198-10.126.96.134;dotcom-sit-eun-em800-10.126.96.132","any","any","Non-Pci-Zone","sendgrid-18.197.194.208;sendgrid-52.57.139.126;sendgrid-int-54.228.39.88;sendgrid-int-108.128.229.184;smtp-office365-subnet","any","any","service-tcp-587","Allow","Profile Group: undefined","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","2","583","2024-10-14 13:42:59","2024-06-27 10:34:05"
"4","Az-pci-np-cloudsink-url-acc","azure_pci_nonprod","none","universal","Pci-Zone","dot-eun-nprod-shsrv-vnet-10.126.32.0_21;dot-eun-nprod-shsrv-vnet-10.126.96.0_21","any","any","Non-Pci-Zone","any","any","ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","409","2026-04-09 15:43:19","2025-04-21 09:55:15"
"5","Az-pci-np-cloudsink-url-acc-1","azure_pci_nonprod","none","universal","Pci-Zone","Hst-dotvnpoemdbs01-10.126.116.52","any","any","Non-Pci-Zone","any","any","crowdstrike;ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","2","55","2026-04-09 15:43:19","2026-04-09 15:43:19"
"6","azure-wiz-connector","azure_pci_nonprod","none","universal","Pci-Zone","dot-eun-nprod-shsrv-vnet-10.126.32.0_21;dot-eun-nprod-shsrv-vnet-10.126.96.0_21;Hst-v2-np-oms-10.126.114.0_26","any","any","Non-Pci-Zone","any","any","any","application-default","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","2","97","2026-02-18 11:05:45","2026-02-10 12:15:55"
"7","az-finops-cloudablity","azure_pci_nonprod","none","universal","Pci-Zone","az-v2-np-10.127.0.0_16;az_v2_np-10.126.0.0_16","any","any","Non-Pci-Zone","any","any","any","application-default","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","42","2026-04-23 15:16:56","2026-04-23 15:06:59"
"8","corp-stp2-to-pci-oms","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone;Pci-Zone","az-pci-10.105.33.0_25;az-pci-oms-sterling-ft;az-pci-oms-sterling-stg;np-stp2-xi52-sp","any","any","Non-Pci-Zone;Pci-Zone","az-pci-10.105.33.0_25;az-pci-oms-sterling-ft;az-pci-oms-sterling-stg;np-stp2-xi52-sp","any","ssl","application-default","Allow","Profile Group: security-profile","Traffic log sent at session start, and at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"9","non-pci-to-pci-tools-splunk-server-1","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone","dotcom-nonpci-servers","any","any","Pci-Zone","az-pci-splunk-indexer","any","any","service-tcp-8089;service-tcp-9997","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Unused","0","-","2023-08-09 14:45:46","2022-05-20 16:34:15"
"10","sp-salina-to-jenkins-splunk-om","azure_pci_nonprod","NON-PCI;PCI","universal","Non-Pci-Zone","sp_salina_10.118.0.0_23","any","any","Pci-Zone","Host_10.126.37.54;Hst-int-oms-dotcom-10.126.33.138","any","any","service-https","Allow","Profile Group: security-profile","Traffic log sent at session end;Log Forwarding Profile setting: Loggin to Panorama","any","Used","1","367","2025-06-04 20:48:53","2025-06-02 15:35:43"
